index,access_code,access_days_time,access_detail_code,cards_accepted,date_last_confirmed,expected_date,fuel_type_code,groups_with_access_code,id,open_date,owner_type_code,status_code,station_name,station_phone,updated_at,facility_type,geocode_status,latitude,longitude,city,intersection_directions,plus4,state,street_address,zip,country,ev_connector_types,ev_dc_fast_num,ev_level1_evse_num,ev_level2_evse_num,ev_network,ev_network_web,ev_other_evse,ev_pricing,ev_renewable_source,ev_network_ids,federal_agency
0,public,Dealership business hours,CALL,,2020-06-09,,ELEC,Public - Call ahead,40066,2011-03-15,P,E,Modern Nissan - Concord,704-788-2110,2020-06-09T16:47:26Z,CAR_DEALER,200-9,35.392063,-80.622777,Concord,,,NC,967 Concord Pkwy S,28027,US,"['CHADEMO', 'J1772']",1,,1.0,Non-Networked,,,Free,,,
1,public,Dealership business hours,CALL,,2020-06-09,,ELEC,Public - Call ahead,40067,2011-03-15,P,E,Fred Anderson Nissan,910-758-2338,2020-06-09T16:47:26Z,CAR_DEALER,200-9,35.042419,-78.956747,Fayetteville,,,NC,4559 Raeford Rd,28304,US,"['CHADEMO', 'J1772']",1,,1.0,Non-Networked,,,Free,,,
2,public,Dealership business hours,CALL,,2020-06-09,,ELEC,Public - Call ahead,43876,2011-04-01,P,E,Carolina Nissan,336-584-0201,2020-06-09T16:47:26Z,CAR_DEALER,200-9,36.063557,-79.503697,Burlington,,,NC,1329 Huffman Mill Rd,27215,US,"['CHADEMO', 'J1772']",1,,2.0,Non-Networked,,,Free,,,
3,public,Dealership business hours,CALL,,2020-06-09,,ELEC,Public - Call ahead,46407,2011-08-01,P,E,Michael Jordan Nissan,919-489-3800,2020-06-09T16:47:26Z,CAR_DEALER,GPS,35.9705175060388,-78.9568475865082,Durham,,,NC,3930 Chapel Hill Blvd,27707,US,"['CHADEMO', 'J1772']",1,,2.0,Non-Networked,,,Free,,,
4,public,Dealership business hours; 704-867-0000,CALL,,2020-06-09,,ELEC,Public - Call ahead,46998,2012-01-31,P,E,Gastonia Nissan,,2020-06-09T16:47:26Z,CAR_DEALER,GPS,35.261109,-81.139708,Gastonia,,,NC,2755 E Franklin Blvd,28054,US,"['CHADEMO', 'J1772']",1,,1.0,Non-Networked,,,Free,,,
5,public,Dealership business hours; contact 336-292-9191 for more information,CALL,,2020-06-09,,ELEC,Public - Call ahead,47003,2012-01-31,P,E,Crown Nissan,,2020-06-09T16:47:26Z,CAR_DEALER,GPS,36.060613,-79.876505,Greensboro,,,NC,3900 W Wendover Ave,27407,US,"['CHADEMO', 'J1772']",1,,1.0,Non-Networked,,,Free,,,
6,public,Dealership business hours,CALL,,2020-06-09,,ELEC,Public - Call ahead,47005,2012-01-31,P,E,Greenville Nissan,252-756-1738,2020-06-09T16:47:26Z,CAR_DEALER,200-9,35.571982,-77.408327,Greenville,,,NC,991 Greenville Blvd SW,27834,US,"['CHADEMO', 'J1772']",1,,1.0,Non-Networked,,,Free,,,
7,public,Dealership business hours,CALL,,2020-06-09,,ELEC,Public - Call ahead,47010,2012-01-31,P,E,Modern Nissan - Hickory,828-324-5040,2020-06-09T16:47:26Z,CAR_DEALER,GPS,35.710136,-81.321182,Hickory,,,NC,840 US Highway 70 SE,28602,US,"['CHADEMO', 'J1772']",1,,2.0,Non-Networked,,,Free,,,
8,public,Dealership business hours,CALL,,2020-06-09,,ELEC,Public - Call ahead,47032,2012-01-31,P,E,Ben Mynatt Nissan,704-633-7270,2020-06-09T16:47:26Z,CAR_DEALER,200-9,35.644549,-80.488272,Salisbury,,,NC,629 Jake Alexander Blvd S,28147,US,"['CHADEMO', 'J1772']",1,,1.0,Non-Networked,,,Free,,,
9,public,Dealership business hours,CALL,,2020-06-09,,ELEC,Public - Call ahead,47034,2012-01-31,P,E,Classic Nissan - Sanford,919-775-2351,2020-06-09T16:47:26Z,CAR_DEALER,200-9,35.44411,-79.1282,Sanford,,,NC,3305 NC Highway 87 S,27332,US,"['CHADEMO', 'J1772']",1,,1.0,Non-Networked,,,Free,,,
10,public,Dealership business hours,CALL,,2020-06-09,,ELEC,Public - Call ahead,47040,2012-01-31,P,E,Crossroads Nissan - Wake Forest,919-435-5700,2020-06-09T16:47:26Z,CAR_DEALER,200-8,35.948971,-78.539171,Wake Forest,,,NC,11120 Capital Blvd,27587,US,"['CHADEMO', 'J1772']",1,,1.0,Non-Networked,,,Free,,,
11,public,Dealership business hours,CALL,,2020-06-09,,ELEC,Public - Call ahead,47046,2012-01-31,P,E,Lee Nissan,252-237-4400,2020-06-09T16:47:26Z,CAR_DEALER,GPS,35.756003,-77.9753,Wilson,,,NC,4170 Raleigh Rd Pkwy,27896,US,"['CHADEMO', 'J1772']",1,,1.0,Non-Networked,,,Free,,,
12,public,Dealership business hours,CALL,,2020-06-09,,ELEC,Public - Call ahead,47048,2012-01-31,P,E,Modern Nissan,336-767-8260,2020-06-09T16:47:26Z,CAR_DEALER,200-9,36.179741,-80.275364,Winston-Salem,,,NC,5795 University Pkwy,27105,US,"['CHADEMO', 'J1772']",1,,1.0,Non-Networked,,,Free,,,
13,public,Dealership business hours,CALL,,2020-06-09,,ELEC,Public - Call ahead,47123,2012-01-31,P,E,Modern Nissan - Lake Norman,704-237-5100,2020-06-09T16:47:26Z,CAR_DEALER,200-8,35.467117,-80.872205,Cornelius,,,NC,18615 Statesville Rd,28031,US,"['CHADEMO', 'J1772']",1,,1.0,Non-Networked,,,Free,,,
14,public,Dealership business hours,CALL,,2020-06-09,,ELEC,Public - Call ahead,47192,2012-01-31,P,E,Leith Nissan,919-589-0029,2020-06-09T16:47:26Z,CAR_DEALER,GPS,35.7390019,-78.8138134,Cary,,,NC,2100 Auto Park Blvd,27511,US,"['CHADEMO', 'J1772']",1,,1.0,Non-Networked,,,Free,,,
15,public,Dealership business hours,CALL,,2020-06-09,,ELEC,Public - Call ahead,61410,2014-02-01,P,E,Fred Anderson Nissan,919-324-3443,2020-06-09T16:47:26Z,CAR_DEALER,200-9,35.896757,-78.760671,Raleigh,,,NC,9225 Glenwood Ave,27617,US,"['CHADEMO', 'J1772']",1,,1.0,Non-Networked,,,Free,,,
16,public,9am-5pm M-F,CALL,,2019-11-08,,ELEC,Public - Call ahead,61530,2014-03-07,P,E,Alphainstall.com Building,774-257-4246,2020-01-21T18:34:38Z,OFFICE_BLDG,GPS,35.729727,-79.176032,Pittsboro,"On Highway 15-501 and Hillsboro Street, near the intersection with Highway 64.",,NC,697 Hillsboro St,27312,US,['CHADEMO'],1,,,Non-Networked,,,Free,SOLAR,,
